micros,counts,seconds,volts,amps
516000,621,0.516,0.0388125,3.88125
517201,211,0.517201,0.0131875,1.3187499999999999
518400,-223,0.5184,-0.0139375,-1.39375
519600,-630,0.5196,-0.039375,-3.9375
520800,-935,0.5208,-0.0584375,-5.84375
522000,-1125,0.522,-0.0703125,-7.03125
523201,-1147,0.523201,-0.0716875,-7.16875
524400,-1066,0.5244,-0.066625,-6.6625000000000005
525600,-781,0.5256,-0.0488125,-4.8812500000000005
526800,-382,0.5268,-0.023875,-2.3875
528000,30,0.528,0.001875,0.1875
529201,473,0.529201,0.029562500000000002,2.9562500000000003
530400,813,0.5304,0.050812500000000003,5.081250000000001
531600,1069,0.5316,0.0668125,6.6812499999999995
532800,1148,0.5328,0.07175000000000001,7.175000000000001
534000,1123,0.534,0.0701875,7.01875
535201,923,0.535201,0.0576875,5.768750000000001
536400,557,0.5364,0.0348125,3.48125
537600,144,0.5376,0.009000000000000001,0.9000000000000001
538800,-295,0.5388,-0.0184375,-1.84375
540000,-684,0.54,-0.04275,-4.275
541201,-976,0.541201,-0.061,-6.1
542400,-1136,0.5424,-0.07100000000000001,-7.1000000000000005
543600,-1144,0.5436,-0.07150000000000001,-7.15
544800,-1033,0.5448,-0.0645625,-6.45625
546000,-721,0.546,-0.0450625,-4.50625
547201,-320,0.547201,-0.02,-2.0
548400,99,0.5484,0.0061875,0.61875
549600,540,0.5496,0.03375,3.375
550800,1097,0.5508,0.0685625,6.85625
552000,1148,0.552,0.07175000000000001,7.175000000000001
553200,1105,0.5532,0.0690625,6.90625
554400,872,0.5544,0.0545,5.45
555600,491,0.5556,0.0306875,3.06875
556800,79,0.5568,0.0049375,0.49375
558000,-364,0.558,-0.02275,-2.275
559200,-736,0.5592,-0.046,-4.6
560400,-1015,0.5604,-0.06343750000000001,-6.343750000000001
561600,-1144,0.5616,-0.07150000000000001,-7.15
562800,-1138,0.5628,-0.07112500000000001,-7.112500000000001
564000,-996,0.564,-0.06225,-6.225
565201,-659,0.565201,-0.0411875,-4.11875
566400,-254,0.5664,-0.015875,-1.5875
567600,175,0.5676,0.010937500000000001,1.09375
568800,599,0.5688,0.0374375,3.74375
570000,905,0.57,0.0565625,5.65625
571201,1116,0.571201,0.06975,6.9750000000000005
572400,1147,0.5724,0.0716875,7.16875
573600,1082,0.5736,0.067625,6.7625
574800,817,0.5748,0.051062500000000004,5.10625
576000,423,0.576,0.0264375,2.64375
577201,14,0.577201,0.000875,0.08750000000000001
578400,-430,0.5784,-0.026875,-2.6875
579600,-784,0.5796,-0.049,-4.9
580800,-1050,0.5808,-0.065625,-6.5625
582000,-1148,0.582,-0.07175000000000001,-7.175000000000001
583201,-1131,0.583201,-0.0706875,-7.06875
584400,-953,0.5844,-0.059562500000000004,-5.956250000000001
585600,-597,0.5856,-0.0373125,-3.7312499999999997
586800,-187,0.5868,-0.0116875,-1.16875
588000,247,0.588,0.0154375,1.54375
589201,650,0.589201,0.040625,4.0625
590400,950,0.5904,0.059375000000000004,5.9375
591600,1130,0.5916,0.07062500000000001,7.062500000000001
592800,1145,0.5928,0.0715625,7.15625
594000,1054,0.594,0.065875,6.5875
595200,760,0.5952,0.0475,4.75
596400,357,0.5964,0.0223125,2.2312499999999997
597600,-54,0.5976,-0.003375,-0.3375
598800,-496,0.5988,-0.031,-3.1
600000,-831,0.6,-0.051937500000000004,-5.1937500000000005
601201,-1081,0.601201,-0.0675625,-6.75625
602400,-1150,0.6024,-0.07187500000000001,-7.187500000000001
603600,-1117,0.6036,-0.0698125,-6.98125
604801,-905,0.604801,-0.0565625,-5.65625
606000,-533,0.606,-0.0333125,-3.3312500000000003
607201,-122,0.607201,-0.007625,-0.7625
608400,321,0.6084,0.0200625,2.00625
609600,703,0.6096,0.043937500000000004,4.393750000000001
610800,991,0.6108,0.0619375,6.19375
612000,1139,0.612,0.0711875,7.11875
613201,1142,0.613201,0.07137500000000001,7.137500000000001
